"gene_id","D1","D3","Z3","MP2","Z1","Z2","MS1","MP1","D7","D9","ZH2","D4","D5","D6"
"ENSMUSG00000035067",2,5,6,9,5,5,2,12,7,3,2,1,13,5
"ENSMUSG00000035069",890,628,294,331,584,569,667,559,833,597,785,656,539,668
"ENSMUSG00000035078",309,304,134,101,460,472,639,259,426,355,507,377,417,355
"ENSMUSG00000035085",347,153,139,131,116,102,149,420,126,150,159,100,182,154
"ENSMUSG00000035086",2446,1696,922,706,1885,1347,1971,1562,2036,2041,2041,1784,1646,1714
"ENSMUSG00000035093",1342,1309,663,334,1503,1330,2126,1110,1904,1599,1795,1344,1424,1129
"ENSMUSG00000035095",16,7,0,2,10,15,7,2,10,6,5,3,5,6
"ENSMUSG00000035104",146,102,39,32,118,82,103,99,107,144,140,166,126,108
"ENSMUSG00000035105",1256,1637,717,261,1419,775,2475,1602,1494,1462,1673,1558,1938,1782
"ENSMUSG00000035107",106,117,50,37,163,88,240,39,138,136,178,122,95,106
"ENSMUSG00000035109",2,0,0,0,2,0,5,3,1,0,4,1,5,1
"ENSMUSG00000035112",1767,1086,1660,1179,1090,1076,1015,1595,865,1372,1097,756,1116,887
"ENSMUSG00000035121",5,12,0,1,4,0,7,2,12,11,3,1,7,8
"ENSMUSG00000035125",112,97,40,39,183,145,251,56,144,118,144,129,143,118
"ENSMUSG00000035126",51,25,4,9,13,27,14,23,20,16,16,17,11,19
"ENSMUSG00000035129",1,3,6,0,4,5,4,2,6,4,3,3,3,2
"ENSMUSG00000035131",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035133",993,948,585,166,2000,1850,3279,697,1893,1453,2139,2447,2089,1743
"ENSMUSG00000035139",651,559,352,320,552,355,589,729,556,537,561,503,600,501
"ENSMUSG00000035142",234,176,59,45,169,108,190,106,197,157,157,226,136,197
"ENSMUSG00000035148",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035150",1667,1434,760,396,2545,1663,2930,1108,2339,1852,2378,2365,2214,2246
"ENSMUSG00000035151",693,452,230,228,558,786,714,566,694,574,563,585,577,566
"ENSMUSG00000035152",4140,3571,1959,1411,4045,2866,4721,2613,3859,3575,4256,2934,3652,3254
"ENSMUSG00000035158",54,15,17,15,35,7,46,37,31,16,31,20,28,25
"ENSMUSG00000035161",400,379,231,103,496,461,520,302,446,493,525,573,485,410
"ENSMUSG00000035164",46,33,5,8,54,29,90,6,17,16,38,33,34,42
"ENSMUSG00000035165",6040,4727,3660,2133,5038,3044,2680,3006,3224,4363,4027,3409,2852,3247
"ENSMUSG00000035168",613,597,336,189,772,621,882,539,623,704,751,642,810,687
"ENSMUSG00000035171",1174,902,325,287,805,911,1358,1011,1137,950,902,1369,910,965
"ENSMUSG00000035172",950,787,472,459,633,268,473,689,691,757,672,445,619,461
"ENSMUSG00000035173",1033,867,556,310,1075,994,1445,728,1279,1175,1248,1266,1051,994
"ENSMUSG00000035177",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035179",4,8,21,16,5,0,6,2,3,3,4,1,4,12
"ENSMUSG00000035181",1403,1244,709,363,1860,1105,2451,867,1874,1641,2073,1565,1655,1464
"ENSMUSG00000035183",17,6,5,0,13,16,27,15,14,9,22,25,11,8
"ENSMUSG00000035184",356,567,197,233,553,300,656,460,582,657,306,261,604,430
"ENSMUSG00000035186",341,220,135,37,109,185,233,1121,183,338,1168,408,367,327
"ENSMUSG00000035187",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035189",0,0,0,0,0,0,0,6,0,3,0,6,2,1
"ENSMUSG00000035191",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035198",766,562,219,278,497,267,709,384,567,526,596,423,549,518
"ENSMUSG00000035199",1884,1670,643,516,1313,837,1305,1361,1289,1453,1442,1079,1262,1114
"ENSMUSG00000035200",557,129,92,107,246,213,350,170,188,135,207,213,280,208
"ENSMUSG00000035201",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035202",8978,8972,919,3334,1347,2162,1868,2501,6694,6534,2240,4233,5399,6530
"ENSMUSG00000035203",9191,7470,5287,4285,6455,3616,5724,6055,6349,7028,6875,4619,5873,5268
"ENSMUSG00000035206",1708,1416,1034,827,1048,696,925,1024,1100,1219,1149,892,1061,1090
"ENSMUSG00000035208",18,8,8,24,13,4,18,38,30,18,37,12,26,20
"ENSMUSG00000035211",2,0,0,5,2,0,0,5,1,3,0,0,3,3
"ENSMUSG00000035212",2470,2751,904,773,2254,1822,2232,1687,2314,2224,2207,2320,1988,2093
"ENSMUSG00000035215",886,551,352,283,480,351,241,629,519,585,520,400,398,494
"ENSMUSG00000035226",295,274,168,60,196,185,258,125,95,146,209,86,126,140
"ENSMUSG00000035227",3436,2601,1005,857,2729,2140,2817,2964,2922,3151,3026,2653,2463,2532
"ENSMUSG00000035228",67,46,60,51,52,63,24,34,44,26,28,17,21,32
"ENSMUSG00000035232",659,505,283,185,625,572,834,477,538,500,607,562,511,535
"ENSMUSG00000035234",308,218,136,149,219,170,261,167,221,154,171,192,189,190
"ENSMUSG00000035235",79,78,36,30,59,58,120,59,67,76,73,79,92,85
"ENSMUSG00000035236",172,168,85,38,228,264,307,80,168,126,198,209,193,159
"ENSMUSG00000035237",1,1,0,0,1,0,0,0,1,0,2,0,1,1
"ENSMUSG00000035238",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035239",187,175,123,60,170,72,127,92,81,128,187,47,42,58
"ENSMUSG00000035242",12507,9259,4324,4197,8443,3508,6858,7633,7967,8445,8771,5988,6164,6397
"ENSMUSG00000035245",343,324,182,107,375,278,460,369,343,388,353,231,325,277
"ENSMUSG00000035246",7,9,0,3,5,9,20,7,3,4,8,6,10,4
"ENSMUSG00000035247",2147,2037,1159,501,3082,2581,4054,1786,3128,2457,3222,2757,2973,2715
"ENSMUSG00000035248",1205,1055,494,202,1619,1493,2047,610,1663,1591,1796,1399,1688,1267
"ENSMUSG00000035258",4,5,14,2,6,4,14,15,5,12,21,11,3,4
"ENSMUSG00000035262",9,13,10,11,4,16,0,10,4,6,3,12,3,8
"ENSMUSG00000035266",324,171,127,161,191,174,187,228,160,152,221,196,225,185
"ENSMUSG00000035268",1057,709,415,498,598,455,473,539,585,654,633,390,491,480
"ENSMUSG00000035270",8,2,5,6,2,6,13,3,7,2,6,3,7,5
"ENSMUSG00000035273",523,457,175,190,513,274,584,238,464,390,494,400,414,348
"ENSMUSG00000035274",113,67,32,33,66,88,70,95,111,34,48,73,69,77
"ENSMUSG00000035275",3,0,3,1,1,0,4,2,2,1,5,3,4,3
"ENSMUSG00000035277",10,25,21,2,24,0,16,3,9,32,11,12,9,6
"ENSMUSG00000035278",1153,957,327,423,665,371,578,868,783,811,788,548,649,609
"ENSMUSG00000035279",39,45,29,18,18,5,8,34,31,36,26,4,13,20
"ENSMUSG00000035283",2,1,0,0,0,0,9,0,4,1,7,0,5,8
"ENSMUSG00000035284",458,472,349,46,1007,1102,1432,354,1157,814,994,801,842,649
"ENSMUSG00000035285",120,76,40,50,54,39,23,63,36,69,44,23,32,21
"ENSMUSG00000035293",592,404,256,260,848,833,1094,401,805,598,802,700,572,539
"ENSMUSG00000035295",22,9,8,19,15,12,3,9,13,12,15,13,7,11
"ENSMUSG00000035296",5,1,0,0,1,0,2,0,0,2,0,1,4,0
"ENSMUSG00000035297",1759,1523,739,767,1541,1119,1734,1425,1640,1608,1672,1491,1376,1430
"ENSMUSG00000035298",10,8,4,4,3,0,4,5,9,3,2,2,12,0
"ENSMUSG00000035299",1270,923,497,457,782,620,1159,709,819,1026,1011,616,822,681
"ENSMUSG00000035305",135,179,25,26,258,121,212,97,76,118,159,98,125,109
"ENSMUSG00000035310",589,433,167,164,540,536,800,311,499,498,569,518,475,462
"ENSMUSG00000035311",1158,939,559,352,1289,857,1356,582,892,920,1103,832,815,851
"ENSMUSG00000035314",361,214,171,167,249,262,351,294,175,153,298,180,233,217
"ENSMUSG00000035325",5197,4687,2574,2018,5319,3636,7114,4448,5236,4986,5568,4004,5335,4367
"ENSMUSG00000035329",736,578,337,213,633,482,620,544,508,525,476,460,426,462
"ENSMUSG00000035337",8,19,7,4,15,40,13,15,11,15,22,21,18,19
"ENSMUSG00000035342",4471,3667,2455,2411,2742,1267,1586,2786,2387,2852,2786,1738,2258,2224
"ENSMUSG00000035349",48,69,83,12,197,190,336,20,190,124,214,237,250,197
"ENSMUSG00000035351",312,286,162,88,327,151,385,181,291,238,331,335,241,276
"ENSMUSG00000035352",1,0,0,0,0,0,0,0,0,0,4,0,2,0
"ENSMUSG00000035354",381,347,238,98,434,272,536,282,431,370,474,420,388,337
"ENSMUSG00000035355",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035356",3462,3393,1250,953,2889,1815,4232,2150,3150,3421,3508,3015,2982,2562
"ENSMUSG00000035357",156,31,42,56,70,142,144,88,101,30,62,67,122,74
"ENSMUSG00000035364",28,32,11,13,24,0,40,39,35,24,30,9,19,22
"ENSMUSG00000035365",175,161,78,80,229,116,313,71,165,146,202,204,104,164
"ENSMUSG00000035367",521,374,293,274,374,277,362,472,312,367,341,282,280,288
"ENSMUSG00000035370",176,183,106,71,156,111,220,122,235,192,263,189,258,173
"ENSMUSG00000035371",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035372",797,314,189,261,430,469,586,436,400,507,492,388,521,401
"ENSMUSG00000035373",6,7,0,3,3,38,69,72,12,7,7,34,23,20
"ENSMUSG00000035376",979,937,325,217,866,558,899,611,880,777,899,681,635,704
"ENSMUSG00000035378",209,154,92,46,179,171,192,124,179,140,174,191,197,178
"ENSMUSG00000035382",3369,2587,1496,1437,2378,1927,2968,1930,2962,2587,2859,2305,2596,2379
"ENSMUSG00000035383",4,0,0,4,7,0,4,0,3,4,0,1,0,1
"ENSMUSG00000035385",2,0,0,0,0,0,9,1,3,1,0,3,6,3
"ENSMUSG00000035387",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035390",135,117,52,31,84,63,127,76,101,147,116,96,105,100
"ENSMUSG00000035392",299,359,123,142,337,186,358,212,317,245,330,168,249,257
"ENSMUSG00000035394",16,15,17,12,15,0,0,18,8,15,5,0,3,7
"ENSMUSG00000035395",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035397",599,623,206,189,463,544,418,412,493,621,594,562,663,616
"ENSMUSG00000035399",599,499,284,153,418,386,465,417,424,488,452,370,373,346
"ENSMUSG00000035401",465,283,308,263,424,340,359,405,312,377,316,306,288,264
"ENSMUSG00000035403",1,2,0,0,15,0,3,0,3,1,0,1,1,0
"ENSMUSG00000035407",7,3,3,8,0,14,1,0,6,2,2,4,4,1
"ENSMUSG00000035413",3739,3238,1404,1380,2661,1519,2552,2241,2719,2574,2959,2261,2342,2495
"ENSMUSG00000035420",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035429",2770,2697,1613,753,1804,1284,2128,1626,2642,2582,2983,1739,1682,1699
"ENSMUSG00000035431",46,65,16,3,25,3,21,0,23,12,24,7,10,14
"ENSMUSG00000035435",0,0,0,0,0,0,1,0,0,3,0,0,0,1
"ENSMUSG00000035437",846,746,354,164,834,533,957,499,732,651,821,743,741,689
"ENSMUSG00000035439",544,286,121,230,330,246,296,185,366,349,278,191,178,225
"ENSMUSG00000035441",7402,6945,3164,1756,7135,4642,9848,4062,7614,7443,8895,6216,7322,5975
"ENSMUSG00000035443",197,214,59,61,195,230,201,144,210,158,193,256,177,232
"ENSMUSG00000035448",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000035451",2870,2254,1188,861,2269,1882,2578,1833,2297,2044,2426,1654,2435,1947
"ENSMUSG00000035454",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035455",282,213,69,63,251,317,413,157,275,116,347,190,250,312
"ENSMUSG00000035456",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000035458",10,17,44,30,16,0,9,41,4,18,16,5,6,5
"ENSMUSG00000035459",0,0,0,0,0,0,2,0,3,6,1,0,2,2
"ENSMUSG00000035469",1198,1133,457,337,1395,939,1666,812,1006,1143,1430,844,1166,1042
"ENSMUSG00000035472",0,0,0,0,2,0,0,0,1,0,0,0,0,0
"ENSMUSG00000035473",1441,1292,637,538,1166,553,875,672,1005,1022,991,854,728,894
"ENSMUSG00000035476",281,344,196,111,357,333,499,257,356,308,357,304,390,276
"ENSMUSG00000035478",2649,1884,1252,989,1846,983,1337,1311,1512,1728,2218,1014,1293,1390
"ENSMUSG00000035486",5,4,0,6,0,6,4,8,5,1,1,0,4,2
"ENSMUSG00000035491",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035493",151,132,23,59,63,98,62,64,83,78,109,21,37,38
"ENSMUSG00000035495",340,450,127,70,573,443,469,201,469,410,539,404,463,449
"ENSMUSG00000035498",3028,2065,1240,969,2121,1983,3479,2035,2781,2449,2604,2208,2460,2053
"ENSMUSG00000035504",1068,776,719,618,593,497,618,611,535,689,716,374,615,558
"ENSMUSG00000035505",360,251,125,127,267,148,493,344,261,256,229,222,232,246
"ENSMUSG00000035506",3587,2443,1009,1362,2552,2064,2726,1773,2624,2217,2447,1780,2507,2250
"ENSMUSG00000035509",4,2,4,4,5,0,2,7,5,5,10,2,3,1
"ENSMUSG00000035513",14,2,6,0,8,0,3,0,1,12,4,5,19,4
"ENSMUSG00000035517",1308,1361,481,328,1138,829,1548,1073,1405,1051,1474,979,1148,1190
"ENSMUSG00000035521",956,715,408,364,713,500,563,657,654,644,638,539,451,457
"ENSMUSG00000035522",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035523",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035528",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035529",761,691,414,210,764,666,954,748,781,711,722,706,771,659
"ENSMUSG00000035530",11060,8832,5773,5159,6923,5579,6398,9353,5462,8787,6517,4964,5146,5110
"ENSMUSG00000035539",8,0,0,0,0,0,0,0,0,1,1,2,0,1
"ENSMUSG00000035540",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035545",3882,3532,2438,1324,2904,2235,4015,3014,3385,3629,4111,2793,3597,3172
"ENSMUSG00000035547",3270,3577,1551,1103,2577,1787,3243,1677,3657,3267,3978,2687,3325,2787
"ENSMUSG00000035551",16,1,0,1,2,0,3,0,5,3,6,4,4,0
"ENSMUSG00000035557",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035559",1902,1620,885,756,1136,431,860,1078,1127,1231,1421,927,1153,1154
"ENSMUSG00000035560",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035561",11999,8207,3938,2953,8464,5436,5433,4615,7115,5425,8235,4752,5705,6019
"ENSMUSG00000035566",0,10,0,32,0,27,58,12,54,15,0,0,2,4
"ENSMUSG00000035569",2727,2492,1342,787,3008,2404,3951,1710,3184,2932,3807,2524,3216,2598
"ENSMUSG00000035572",610,515,252,156,636,413,905,382,536,547,658,455,503,472
"ENSMUSG00000035575",963,794,451,303,1012,815,1124,804,941,921,943,632,852,890
"ENSMUSG00000035576",4,6,1,0,1,0,0,4,7,1,2,3,3,0
"ENSMUSG00000035578",22,11,34,1,15,18,11,9,8,23,26,11,12,11
"ENSMUSG00000035580",3,0,0,2,12,0,6,7,4,4,3,3,11,7
"ENSMUSG00000035582",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035585",1895,1819,579,422,1596,629,1294,1237,1389,1403,1612,1251,1344,1395
"ENSMUSG00000035592",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035594",3,0,0,1,1,0,0,0,0,0,2,0,0,1
"ENSMUSG00000035595",392,305,276,220,231,302,111,341,257,306,201,248,174,246
"ENSMUSG00000035596",1570,1335,518,404,1357,899,1399,934,1287,1235,1292,979,1217,1173
"ENSMUSG00000035597",1206,1022,701,366,947,966,1100,1088,953,1155,978,900,871,861
"ENSMUSG00000035601",256,253,115,114,233,171,271,164,190,212,232,208,248,192
"ENSMUSG00000035606",14,4,10,2,16,11,3,0,12,8,7,3,15,8
"ENSMUSG00000035614",540,423,359,146,732,550,792,372,512,555,646,706,635,587
"ENSMUSG00000035615",0,8,0,3,43,24,10,46,1,2,29,30,43,41
"ENSMUSG00000035620",521,424,202,156,398,426,375,361,378,351,378,273,383,289
"ENSMUSG00000035621",3645,3580,1368,743,3063,1868,3480,2198,3372,3893,3736,3063,3967,3179
"ENSMUSG00000035623",828,740,350,243,764,728,836,453,780,669,783,625,638,551
"ENSMUSG00000035626",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035629",824,714,330,328,662,526,568,499,560,632,679,431,575,519
"ENSMUSG00000035632",1339,1234,472,480,1134,727,1087,774,1046,1068,1169,756,1062,827
"ENSMUSG00000035637",863,786,364,384,721,317,590,609,670,603,649,557,714,712
"ENSMUSG00000035638",89,24,15,19,75,6,54,44,56,75,60,35,49,40
"ENSMUSG00000035640",90,45,27,39,45,24,48,49,33,51,32,25,45,31
"ENSMUSG00000035642",828,630,339,263,413,458,328,490,503,468,496,476,346,404
"ENSMUSG00000035649",1426,1263,1058,1047,1043,1052,1411,1541,1137,1225,1177,854,1017,946
"ENSMUSG00000035651",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035653",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035666",737,556,239,107,840,682,808,477,628,652,753,673,715,627
"ENSMUSG00000035671",410,445,188,153,402,260,472,219,384,444,462,258,356,279
"ENSMUSG00000035673",2864,2532,1310,1170,1900,1196,3036,2412,3035,3358,3226,2626,2797,2375
"ENSMUSG00000035674",3356,2837,1273,974,2218,1375,1058,2246,2108,2463,2202,2852,1730,1966
"ENSMUSG00000035678",29,14,11,8,23,33,23,32,22,15,16,29,21,17
"ENSMUSG00000035681",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035683",908,575,226,379,912,558,1015,356,618,527,751,602,456,537
"ENSMUSG00000035686",2,2,0,0,0,0,2,4,1,0,1,0,0,0
"ENSMUSG00000035692",1240,721,331,509,431,211,318,796,673,380,746,177,282,325
"ENSMUSG00000035694",30,1,28,1,22,31,2,3,19,12,1,7,11,19
"ENSMUSG00000035696",1479,1284,658,409,1330,1072,1723,780,1413,1274,1441,1062,1139,892
"ENSMUSG00000035697",212,107,129,111,76,56,45,295,82,118,148,60,81,90
"ENSMUSG00000035699",1143,767,212,328,254,147,327,278,535,260,376,141,202,259
"ENSMUSG00000035704",642,438,278,259,516,441,716,490,503,516,572,429,478,494
"ENSMUSG00000035711",60,28,58,40,41,43,15,95,6,45,11,26,14,17
"ENSMUSG00000035713",134,65,20,47,40,57,66,121,32,53,73,72,74,71
"ENSMUSG00000035722",2199,1686,1480,1130,1469,924,1481,2062,1395,1765,1806,1215,1425,1264
"ENSMUSG00000035725",478,394,223,82,528,414,697,419,375,442,520,319,386,341
"ENSMUSG00000035726",1210,987,527,185,1464,1319,2014,569,1447,1246,1630,1450,1522,1376
"ENSMUSG00000035735",745,542,228,213,479,454,482,467,442,540,612,455,593,543
"ENSMUSG00000035745",17,3,0,8,5,8,15,14,7,17,11,4,9,4
"ENSMUSG00000035754",1266,883,541,444,865,666,912,817,964,837,936,850,889,949
"ENSMUSG00000035757",587,600,146,121,540,372,571,193,586,400,515,506,564,562
"ENSMUSG00000035759",45,37,32,21,50,33,35,32,45,22,28,48,34,31
"ENSMUSG00000035762",545,436,292,240,424,363,651,520,474,494,441,517,387,439
"ENSMUSG00000035764",714,518,262,242,642,605,660,467,404,486,544,427,505,479
"ENSMUSG00000035765",1499,1366,726,680,1250,1013,1641,878,1031,1264,1388,834,1155,975
"ENSMUSG00000035769",288,178,169,158,173,193,253,180,181,172,200,113,159,202
"ENSMUSG00000035770",2767,3001,1467,858,2883,2126,3226,1962,2864,3125,3325,2396,2594,2240
"ENSMUSG00000035772",1124,808,476,302,983,798,965,850,880,795,911,819,827,859
"ENSMUSG00000035773",30,52,4,12,18,22,52,15,28,22,34,20,18,31
"ENSMUSG00000035775",17395,14349,9926,4853,11344,6917,10389,10980,15699,13527,19143,8297,8460,6617
"ENSMUSG00000035776",617,598,319,248,589,397,555,320,419,464,594,402,434,435
"ENSMUSG00000035778",20,5,0,6,1,0,7,23,2,8,13,6,7,9
"ENSMUSG00000035780",0,0,3,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000035781",6170,6160,2113,1311,4189,3527,5377,4419,5203,5412,5632,3659,5320,4541
"ENSMUSG00000035783",36,28,6,9,14,0,23,36,37,26,41,35,24,42
"ENSMUSG00000035785",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035790",704,552,333,233,574,649,485,403,513,522,541,450,368,478
"ENSMUSG00000035798",710,697,251,207,569,614,833,622,764,728,778,746,680,645
"ENSMUSG00000035799",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035804",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035805",0,0,0,0,0,0,0,13,0,0,0,0,0,0
"ENSMUSG00000035811",873,737,480,311,1088,817,1020,479,817,778,846,807,737,671
"ENSMUSG00000035818",37,27,16,15,23,47,98,89,38,27,22,33,36,45
"ENSMUSG00000035824",543,472,287,214,343,337,364,417,381,361,315,280,308,331
"ENSMUSG00000035828",4099,3076,1168,906,2373,1253,2146,2067,1655,2461,2847,1857,2905,2054
"ENSMUSG00000035829",149,109,67,23,167,77,116,52,76,60,109,59,85,105
"ENSMUSG00000035831",1,2,0,0,0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000035834",247,275,77,75,317,243,442,183,224,260,268,277,283,295
"ENSMUSG00000035835",178,169,94,25,142,78,226,64,211,164,200,157,237,217
"ENSMUSG00000035836",11,1,0,0,15,7,0,2,7,5,5,2,3,4
"ENSMUSG00000035840",260,226,144,77,432,349,620,196,390,315,347,438,364,287
"ENSMUSG00000035842",370,225,185,240,249,185,262,249,241,223,289,220,232,225
"ENSMUSG00000035845",732,500,387,204,490,211,467,474,469,529,636,338,416,417
"ENSMUSG00000035847",752,636,308,149,771,438,840,367,736,644,784,564,560,495
"ENSMUSG00000035849",21,6,2,5,5,34,5,0,13,10,6,4,9,5
"ENSMUSG00000035851",1981,1559,929,699,1785,1804,1990,1734,1487,1622,1591,1193,1505,1267
"ENSMUSG00000035852",14850,13181,8557,7365,9783,6354,9636,14001,12349,11501,12151,8310,8820,8036
"ENSMUSG00000035860",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035861",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035863",56,53,47,48,35,39,59,97,31,81,90,20,40,21
"ENSMUSG00000035864",1,4,0,0,1,0,1,0,0,0,3,3,0,0
"ENSMUSG00000035868",106,91,72,60,104,136,151,101,115,127,134,127,91,90
"ENSMUSG00000035873",1378,1281,351,219,1375,1013,1445,914,1345,1285,1324,1051,1304,1137
"ENSMUSG00000035875",14,9,18,12,7,15,32,18,16,5,5,8,8,8
"ENSMUSG00000035877",253,191,134,111,231,229,219,172,168,160,227,175,173,163
"ENSMUSG00000035878",125,119,23,30,119,96,118,23,72,88,93,74,76,74
"ENSMUSG00000035885",22179,17731,8915,7098,14112,6684,6363,11533,13260,15836,14123,16863,10935,12882
"ENSMUSG00000035890",2194,1456,1352,1175,1261,636,1188,1447,1273,1441,1332,735,1138,1005
"ENSMUSG00000035891",1021,750,411,356,764,812,875,840,648,798,699,640,846,753
"ENSMUSG00000035896",0,7,0,5,8,0,0,21,7,5,1,2,1,3
"ENSMUSG00000035898",175,146,84,46,306,243,527,155,195,161,286,254,260,265
"ENSMUSG00000035900",1284,1299,541,383,1030,744,1124,844,1282,1331,1349,903,1012,1031
"ENSMUSG00000035901",53,35,18,35,39,32,45,89,16,29,47,31,45,35
"ENSMUSG00000035910",30,8,10,22,18,46,15,17,17,23,11,17,16,23
"ENSMUSG00000035914",364,228,116,103,300,249,494,274,277,226,395,284,409,356
"ENSMUSG00000035916",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035919",88,68,11,29,123,29,100,56,77,63,74,59,47,59
"ENSMUSG00000035923",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035929",3397,5251,2120,1960,2028,1452,3445,3247,3062,2610,4038,1535,2492,2257
"ENSMUSG00000035930",1932,1464,943,649,1928,1339,1733,1223,1870,2227,1889,2157,2076,1846
"ENSMUSG00000035932",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000035933",240,275,125,36,471,306,711,150,525,388,511,650,511,491
"ENSMUSG00000035934",3,5,0,0,0,2,1,9,4,3,4,1,2,7
"ENSMUSG00000035936",617,532,305,173,630,601,767,286,568,591,594,456,574,510
"ENSMUSG00000035941",1996,1392,924,582,2096,2130,2977,982,1596,1668,2172,1926,2161,1811
"ENSMUSG00000035944",1812,1721,768,641,1459,1060,1425,1105,1374,1529,1561,912,1274,1222
"ENSMUSG00000035946",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035948",0,0,1,0,0,0,4,0,4,0,0,0,0,0
"ENSMUSG00000035949",1206,1072,480,282,953,643,992,721,874,963,966,608,891,828
"ENSMUSG00000035951",4,6,14,0,4,0,0,0,4,1,7,4,3,3
"ENSMUSG00000035953",1086,1096,445,198,878,399,1032,611,954,817,1115,723,842,889
"ENSMUSG00000035954",38,21,13,3,14,44,48,23,37,13,32,36,18,20
"ENSMUSG00000035958",889,594,427,417,597,664,752,604,529,642,653,511,529,547
"ENSMUSG00000035960",236,233,41,28,276,88,214,87,273,168,317,282,229,344
"ENSMUSG00000035963",0,2,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000035964",5,0,0,2,0,0,0,4,1,1,0,0,0,3
"ENSMUSG00000035967",1108,1046,815,809,1092,1317,1373,1261,980,992,1048,962,1121,979
"ENSMUSG00000035969",209,81,100,30,94,14,89,0,111,154,105,46,52,5
"ENSMUSG00000035983",12,10,9,5,7,2,23,4,16,15,19,10,10,14
"ENSMUSG00000035984",3,0,0,0,1,0,2,12,1,0,2,5,0,3
"ENSMUSG00000035992",382,374,198,118,573,454,710,309,496,403,560,530,442,449
"ENSMUSG00000036002",1143,1036,587,351,907,416,756,843,945,1060,1181,556,773,660
"ENSMUSG00000036006",57,49,20,20,40,44,68,51,29,23,61,29,49,47
"ENSMUSG00000036009",108,97,47,30,90,108,118,90,103,112,149,112,91,96
"ENSMUSG00000036013",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000036019",641,586,262,184,686,578,883,518,523,569,632,468,526,526
"ENSMUSG00000036022",202,155,92,39,246,178,342,161,214,151,204,156,157,160
"ENSMUSG00000036023",769,706,322,295,687,597,679,589,614,550,585,432,510,556
"ENSMUSG00000036026",2789,2662,1528,882,2213,1484,2431,1532,1746,2394,2793,1454,2122,1702
"ENSMUSG00000036027",29,42,34,14,16,20,24,7,27,23,28,16,19,14
"ENSMUSG00000036030",2,2,4,1,0,0,3,13,0,0,0,0,0,0
"ENSMUSG00000036036",15,2,9,2,6,2,19,42,4,7,4,7,16,9
"ENSMUSG00000036040",1,1,0,4,0,0,2,8,0,0,5,6,0,1
"ENSMUSG00000036045",0,0,0,0,0,0,0,0,0,0,0,0,0,0
